iter	Passed	Remaining
297	493	1163
298	495	1161
299	497	1159
300	498	1157
301	500	1156
302	501	1154
303	503	1152
304	505	1151
305	506	1149
306	508	1148
307	510	1146
308	511	1144
309	513	1142
310	514	1140
311	516	1138
312	517	1136
313	519	1135
314	521	1133
315	522	1131
316	524	1129
317	525	1128
318	527	1126
319	529	1124
320	530	1122
321	532	1120
322	533	1119
323	535	1117
324	537	1115
325	538	1113
326	540	1112
327	542	1110
328	543	1108
329	545	1107
330	546	1105
331	548	1103
332	550	1101
333	551	1099
334	553	1098
335	555	1096
336	556	1095
337	558	1093
338	559	1091
339	561	1090
340	563	1088
341	564	1086
342	566	1084
343	567	1083
344	569	1081
345	571	1079
346	572	1078
347	574	1076
348	576	1074
349	577	1073
350	579	1071
351	581	1070
352	583	1069
353	585	1067
354	586	1066
355	588	1064
356	589	1062
357	591	1060
358	593	1058
359	594	1057
360	596	1055
361	598	1053
362	599	1052
363	601	1050
364	602	1048
365	604	1046
366	605	1044
367	607	1043
368	608	1041
369	610	1039
370	612	1038
371	613	1036
372	615	1034
373	617	1033
374	619	1031
375	620	1030
376	622	1028
377	623	1026
378	625	1024
379	627	1023
380	628	1021
381	630	1019
382	631	1017
383	633	1016
384	635	1014
385	636	1013
386	638	1011
387	640	1009
388	642	1009
389	644	1007
390	645	1006
391	647	1004
392	649	1002
393	650	1001
394	652	999
395	654	997
396	655	996
397	657	994
398	658	992
399	660	990
400	661	988
401	663	987
402	665	985
403	667	984
404	668	982
405	670	980
406	671	979
407	673	977
408	675	976
409	677	974
410	678	973
411	680	971
412	682	969
413	683	967
414	685	965
415	686	964
416	688	962
417	690	960
418	691	959
419	693	957
420	695	956
421	696	954
422	698	952
423	700	951
424	701	949
425	703	947
426	704	945
427	706	944
428	708	942
429	709	940
430	711	939
431	713	937
432	714	936
433	716	934
434	718	932
435	719	931
436	721	929
437	723	927
438	724	926
439	726	924
440	728	922
441	729	921
442	731	919
443	733	917
444	734	916
445	736	914
446	738	913
447	739	911
448	741	909
449	742	908
450	744	906
451	746	905
452	748	903
453	749	901
454	751	900
455	753	898
456	755	897
457	757	896
458	758	894
459	760	892
460	761	890
461	763	889
462	765	887
463	766	885
464	768	884
